COSITE,YEAR,JANAADT,FEBAADT,MARAADT,APRAADT,MAYAADT,JUNAADT,JULAADT,AUGAADT,SEPAADT,OCTAADT,NOVAADT,DECAADT,,,,,,,
100276,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
100276,2021,7950,8522,8994,9270,9122,8339,7851,8309,8465,8785,8773,8918,,,,,,,
100321,2011,50727,56249,54849,54676,49965,51116,49972,51093,53219,53896,50066,47457,,,,,,,
100321,2012,49890,55098,54090,52747,48443,46007,45897,45775,48258,49631,46316,45185,,,,,,,
100321,2013,46364,50587,50109,49787,46835,48360,45632,47140,48282,49970,46204,44980,,,,,,,
100321,2014,45659,50293,49506,49133,45930,46472,45109,46502,47144,48408,44265,43857,,,,,,,
100321,2018,53332,58778,58370,58524,54486,54117,52738,56031,57360,58668,55898,52512,,,,,,,
100321,2016,48000,51500,51500,50611,49792,51603,50483,52849,54524,58086,54808,50678,,,,,,,
100321,2020,53268,58117,45794,30558,38011,41564,41800,44060,45600,46914,44597,44539,,,,,,,
100321,2019,56384,59947,59836,56887,54823,53931,52394,54703,56695,58548,55337,52152,,,,,,,
100321,2015,45959,49997,50159,48956,45852,45814,44797,46506,48570,50372,48000,46300,,,,,,,
100321,2017,52702,56750,56907,56362,52871,51446,51101,54461,51129,58347,54224,51808,,,,,,,
100321,2021,46902,51206,52346,51830,51397,50105,49254,51528,53752,56525,52662,50752,,,,,,,
100372,2011,0,0,0,0,0,0,0,0,58756,58556,55894,54660,,,,,,,
100372,2012,56999,59711,60314,59003,57610,57291,55954,57108,57549,58604,56449,54561,,,,,,,
100372,2013,57009,60557,61109,61722,58731,57649,55927,58853,58114,59573,57500,56000,,,,,,,
